MODOPRIN,FE_VIA,CRITERIOBR
A pe,156.098385,C2
A pe,156.098385,C2
A pe,156.098385,C2
A pe,156.098385,C2
A pe,156.098385,C2
A pe,156.098385,C2
A pe,259.705742,C2
A pe,259.705742,C2
A pe,259.705742,C2
A pe,259.705742,C2
Outros,1.0,C2
A pe,156.32027,C1
A pe,156.32027,C1
A pe,156.32027,C1
A pe,156.32027,C1
Onibus,169.826993,C1
Onibus,169.826993,C1
A pe,156.098385,C1
A pe,156.098385,C1
A pe,156.098385,C1
A pe,156.098385,C1
A pe,156.098385,C1
Taxi,156.098385,B2
Metro,156.098385,B2
Taxi,156.098385,B2
Metro,156.098385,B2
A pe,135.393191,C2
A pe,135.393191,C2
Outros,1.0,C2
Outros,1.0,C2
Outros,1.0,C2
Taxi,156.098385,B1
Taxi,156.098385,B1
Taxi,156.098385,B1
Taxi,156.098385,B1
A pe,135.393191,B2
A pe,135.393191,B2
Metro,156.098385,C1
Metro,156.098385,C1
Onibus,170.068392,C1
Metro,156.32027,C1
Metro,156.32027,C1
A pe,156.32027,C1
A pe,156.32027,C1
Metro,156.32027,C1
A pe,156.32027,C1
A pe,156.32027,C1
A pe,156.098385,C1
A pe,156.098385,C1
Onibus,169.826993,C2
Onibus,169.826993,C2
Outros,1.0,C2
Onibus,170.068392,C2
Onibus,170.068392,C2
A pe,156.098385,D-E
A pe,156.098385,D-E
A pe,156.098385,D-E
A pe,156.098385,D-E
Onibus,170.068392,D-E
Onibus,170.068392,D-E
Outros,1.0,C1
Metro,156.098385,C1
A pe,156.098385,C1
Metro,156.098385,C1
Onibus,147.30081,C2
A pe,135.393191,C2
Onibus,147.30081,C2
Onibus,147.30081,C2
A pe,135.393191,C2
Onibus,147.30081,C2
A pe,156.098385,C1
A pe,156.098385,C1
A pe,156.098385,C1
A pe,156.098385,C1
A pe,156.32027,C1
Carro,156.32027,C1
Carro,156.32027,C1
Onibus,440.589433,C1
Onibus,440.589433,C1
Metro,404.972718,C1
Metro,404.972718,C1
Metro,404.972718,C1
Carro,404.972718,B2
Carro,404.972718,B2
A pe,404.972718,B2
A pe,404.972718,B2
Metro,306.972054,B2
Metro,306.972054,B2
A pe,306.972054,B2
A pe,306.972054,B2
Carro,673.765713,B2
Carro,673.765713,B2
Metro,404.972718,B2
Metro,404.972718,B2
Metro,405.548363,B2
Metro,405.548363,B2
Metro,405.548363,B2
Metro,405.548363,B2
Metro,404.972718,C2
Metro,404.972718,C2
Metro,404.972718,B2
A pe,404.972718,B2
Metro,404.972718,B2
Metro,87.49355,B2
Metro,87.49355,B2
Onibus,95.18847,B2
Onibus,95.18847,B2
Onibus,95.18847,B2
Onibus,95.18847,B2
Onibus,95.18847,B2
Metro,87.49355,B2
Metro,87.49355,B2
Onibus,158.368021,B2
Onibus,158.368021,B2
Onibus,158.368021,B2
Onibus,158.368021,B2
Outros,1.0,C2
Onibus,95.323775,C2
Onibus,95.323775,C2
A pe,75.888235,B2
A pe,75.888235,B2
A pe,75.888235,B2
Metro,177.763102,C1
Onibus,206.265299,C1
Onibus,206.265299,C1
Outros,1.0,B2
Onibus,193.397087,B2
Onibus,193.397087,B2
Metro,177.763102,C1
Onibus,193.397087,C1
Metro,177.763102,C1
Metro,177.763102,C1
Metro,333.338582,C1
Metro,333.338582,C1
A pe,333.338582,C1
A pe,333.338582,C1
Metro,177.763102,C1
