"","data","volume","chuva","temp.max","diff","x","y","z","medMov.chuva","medMov.diff","medMov.temp"
"1205",2020-04-19,620.54238,0,24,-0.724240000000009,0.126569707881527,0,23.52,0.0999999999999988,-0.701948000000001,24.6666666666667
"1206",2020-04-20,618.92801,0,26,-1.61437000000001,0.0718348503128016,0,25.52,0.0999999999999988,-0.78900866666667,24.5333333333333
"1207",2020-04-21,618.03519,0,26,-0.892820000000029,0.116203579013904,0,25.52,0.0999999999999988,-0.803883333333336,24.2
"1208",2020-04-22,616.78066,0,24,-1.25452999999993,0.0939617207109842,0,23.52,0.0799999999999988,-0.869778666666669,24.0666666666667
"1209",2020-04-23,615.64266,0,25,-1.13800000000003,0.101127250411677,0,24.52,0.0733333333333321,-0.926663333333333,24.4
"1210",2020-04-24,614.4568,0,27,-1.18585999999993,0.0981842979404274,0,26.52,0.0733333333333321,-0.984165999999997,24.6
"1211",2020-04-25,613.62632,0,28,-0.83048000000008,0.120036919111229,0,27.52,0.0733333333333321,-1.01458666666667,24.8666666666667
"1212",2020-04-26,612.11505,0,28,-1.51126999999997,0.0781745577884937,0,27.52,0.0733333333333321,-1.062602,25.2
"1213",2020-04-27,610.88004,0,25,-1.23500999999999,0.0951620222621491,0,24.52,0.0733333333333321,-1.090846,25.3333333333333
"1214",2020-04-28,609.43876,0.05,26,-1.44128000000001,0.0824783029506981,0.000696378830083566,25.52,0.0766666666666654,-1.10069266666667,25.3333333333333
"1215",2020-04-29,608.05137,0,27,-1.38738999999998,0.085792045296625,0,26.52,0.0766666666666654,-1.137266,25.6
"1216",2020-04-30,606.52368,0,27,-1.52769000000001,0.0771648778976007,0,26.52,0.00333333333333209,-1.15885466666667,25.6666666666667
"1217",2020-05-01,606.11375,0,27,-0.409930000000031,0.145896899507946,0,26.52,0.00333333333333209,-1.14935066666667,25.6666666666667
"1218",2020-05-02,605.36344,0,28,-0.750310000000013,0.124966641209449,0,27.52,0.00333333333333209,-1.132744,26.1333333333333
"1219",2020-05-03,604.46156,0,22,-0.901880000000006,0.115646471839029,0,21.52,0.00333333333333209,-1.12033733333334,26
"1220",2020-05-04,603.66341,0,24,-0.798149999999964,0.122024918555359,0,23.52,0.00333333333333209,-1.12526466666667,26
"1221",2020-05-05,602.81092,0,27,-0.852489999999989,0.118683505323262,0,26.52,0.00333333333333209,-1.07447266666666,26.0666666666667
"1222",2020-05-06,602.13088,0,27,-0.680039999999963,0.129287603811942,0,26.52,0.00333333333333209,-1.06028733333333,26.1333333333333
"1223",2020-05-07,601.5265,3.7,17,-0.604379999999992,0.13394000213988,0.0515320334261839,16.52,0.249999999999999,-1.016944,25.6666666666667
"1224",2020-05-08,600.92489,0,20,-0.601610000000051,0.134110331816964,0,19.52,0.249999999999999,-0.981184666666665,25.3333333333333
"1225",2020-05-09,599.61168,0,23,-1.31321000000003,0.0903534371544947,0,22.52,0.249999999999999,-0.989674666666671,25.0666666666667
"1226",2020-05-10,598.30844,0,25,-1.30323999999996,0.0909665010102954,0,24.52,0.249999999999999,-1.021192,24.8666666666667
"1227",2020-05-11,596.90299,0.1,26,-1.40544999999997,0.0846815203983621,0.00139275766016713,25.52,0.256666666666665,-1.01413733333333,24.7333333333333
"1228",2020-05-12,595.89084,0.1,26,-1.01215000000002,0.108865874910374,0.00139275766016713,25.52,0.263333333333332,-0.999279999999999,24.8
"1229",2020-05-13,594.86286,0.1,25,-1.02798000000007,0.107892474625791,0.00139275766016713,24.52,0.266666666666665,-0.97172666666667,24.7333333333333
"1230",2020-05-14,593.86163,0,22,-1.00122999999996,0.10953735508142,0,21.52,0.266666666666665,-0.945982666666669,24.4
"1231",2020-05-15,593.24765,2.3,17,-0.61397999999997,0.133349689901602,0.032033426183844,16.52,0.419999999999999,-0.885068666666666,23.7333333333333
